Location,2010 - 2015,2015 - 2020
Algeria,2.96,3.05
Angola,6,5.55
Benin,5.22,4.87
Botswana,3.01,2.89
Burkina Faso,5.65,5.23
Burundi,5.95,5.45
Cabo Verde,2.5,2.29
Cameroon,4.95,4.6
Central African Republic,5.1,4.75
Chad,6.31,5.8
Comoros,4.6,4.24
Congo,4.7,4.45
Côte d'Ivoire,4.95,4.68
Democratic Republic of the Congo,6.4,5.96
Djibouti,3.1,2.76
Egypt,3.45,3.33
Equatorial Guinea,4.99,4.55
Eritrea,4.35,4.1
Eswatini,3.14,3.03
Ethiopia,4.85,4.3
Gabon,4.1,4
Gambia,5.5,5.25
Ghana,4.18,3.89
Guinea,5.13,4.74
Guinea-Bissau,4.9,4.51
Kenya,4.06,3.52
Lesotho,3.26,3.16
Liberia,4.75,4.35
Libya,2.45,2.25
Madagascar,4.4,4.11
Malawi,4.88,4.25
Mali,6.35,5.92
Mauritania,4.88,4.58
Mauritius,1.49,1.39
Morocco,2.6,2.42
Mozambique,5.23,4.89
Namibia,3.62,3.42
Niger,7.35,6.95
Nigeria,5.74,5.42
Rwanda,4.25,4.1
Sao Tome and Principe,4.6,4.35
Senegal,5,4.65
Seychelles,2.38,2.46
Sierra Leone,4.84,4.32
Somalia,6.61,6.12
South Africa,2.55,2.41
South Sudan,5.15,4.74
Sudan,4.75,4.43
Togo,4.69,4.35
Tunisia,2.25,2.2
Uganda,5.78,5.01
United Republic of Tanzania,5.24,4.92
Zambia,5.2,4.66
Zimbabwe,4.09,3.63
